id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1497244347011678210,1497207081039970316,2022-02-25 16:17:24 UTC,2022-02-25,16:17:24,+0000,1482815368968220673,zzanekk3,Zzanekk,,"@drdavidmalet @BarakMendelsohn @aysfzdmr @tricbacon @Dr_DMilton Thankyou! Your bokk,the Foreign Fighters was unique,and lovely. Please,turn it into a prooper,sophisticated book. No one touched the topic en block,however,50 000 people from 110 countries worth it. Sharing some articles on the Net never as worthy as writing a book. Dont forget,",en,[],[],[],0,0,0,[],[],https://twitter.com/zzanekk3/status/1497244347011678210,False,,0,,,,,,,,"[{'screen_name': 'drdavidmalet', 'name': 'David Malet', 'id': '2258404597'}, {'screen_name': 'BarakMendelsohn', 'name': 'Barak Mendelsohn', 'id': '1899113971'}, {'screen_name': 'aysfzdmr', 'name': 'Ahmet Yusuf Ozdemir', 'id': '4494178408'}, {'screen_name': 'tricbacon', 'name': 'Tricia Bacon', 'id': '2792040117'}, {'screen_name': 'Dr_DMilton', 'name': 'Daniel Milton', 'id': '726050203879383041'}]",,,,
1497244341521326113,1497188935814025216,2022-02-25 16:17:23 UTC,2022-02-25,16:17:23,+0000,1197837449805910018,nielsanderzen,Niels Andersen,,"@captainsquidge1 @FilmCriticMaybe Yeah, absolutely. I've been online in some capacity or other since the early 90s, and I can tell you, that even though the net has always had its kooks and cranks, the IQ seriously decreased with the www &amp; everymans' access.",en,[],[],[],0,0,0,[],[],https://twitter.com/NielsAnderzen/status/1497244341521326113,False,,0,,,,,,,,"[{'screen_name': 'captainsquidge1', 'name': 'riddle me squidge', 'id': '1291924891277697024'}, {'screen_name': 'FilmCriticMaybe', 'name': 'The Maybe Film Critic', 'id': '980641508'}]",,,,
1497244337167638693,1496971656375455748,2022-02-25 16:17:22 UTC,2022-02-25,16:17:22,+0000,1395988195498680323,borsali82634806,Siegfreid,,"@hazzychalamet @Artigoo33 @mc_addam ent meu parceiro, tem vários lugares que vc consegue arrumar uma kit net por 700 e até mais barato, aq na zona norte do RJ por exemplo. Um iPhone pode variar de 1500 a 2000 usado, esse dinheiro ele dá entrada numa moto alugada e uma kit net",pt,[],[],[],0,0,0,[],[],https://twitter.com/Borsali82634806/status/1497244337167638693,False,,0,,,,,,,,"[{'screen_name': 'hazzychalamet', 'name': 'bad vicent da quebrada', 'id': '840186451790831616'}, {'screen_name': 'Artigoo33', 'name': 'Tricolor', 'id': '1173950227428126721'}, {'screen_name': 'mc_addam', 'name': 'Mc Addam', 'id': '1438566945167654913'}]",,,,
1497244334470545409,1497244143772475400,2022-02-25 16:17:21 UTC,2022-02-25,16:17:21,+0000,1406243544927408128,stw_2020,Pepperz Tradez,,@MauroBianchi24 Thoughts on $NET,en,[],[],[],0,0,0,[],['net'],https://twitter.com/STW_2020/status/1497244334470545409,False,,0,,,,,,,,"[{'screen_name': 'MauroBianchi24', 'name': 'Mauro', 'id': '1128481490923184128'}]",,,,
1497244318633009165,1497095490302885903,2022-02-25 16:17:17 UTC,2022-02-25,16:17:17,+0000,727129472831492096,maddog_12,Duane 💙🧡🏒🇺🇸,,"@EverydayIsles I don’t like seeing Sorokin in it. Or Varlomov. Even Lehner was bad. 18 can’t hit the net in 65 mins, 29 only shoots. We need Franzie back!",en,[],[],[],0,0,0,[],[],https://twitter.com/Maddog_12/status/1497244318633009165,False,,0,,,,,,,,"[{'screen_name': 'EverydayIsles', 'name': 'EVERYDAYISLES \uea00', 'id': '1261421223571054593'}]",,,,
1497244318444265478,1497244318444265478,2022-02-25 16:17:17 UTC,2022-02-25,16:17:17,+0000,1490099196094992386,d4wnh4,ısak,,gayet net  https://t.co/wyfWVtYPoB,en,[],[],['https://pbs.twimg.com/media/FMdHxWXXMAc1Vsw.jpg'],0,0,0,[],[],https://twitter.com/D4WNH4/status/1497244318444265478,False,https://twitter.com/hyyh_y_k/status/1497241842013847552,1,https://pbs.twimg.com/media/FMdHxWXXMAc1Vsw.jpg,,,,,,,[],,,,
1497244310714130432,1497239710351175683,2022-02-25 16:17:15 UTC,2022-02-25,16:17:15,+0000,1308988733157449729,thenetsjunkie,The Nets Junkie,,"@CamConfidence @sadnyfaninpain 30-point triple double in his Nets debut. If you knew Harden, you’d know he’s about to go off tonight. Regardless of whether we want him to or not.",en,[],[],[],0,0,0,[],[],https://twitter.com/TheNetsJunkie/status/1497244310714130432,False,,0,,,,,,,,"[{'screen_name': 'CamConfidence', 'name': 'Patty Thrills', 'id': '1354124797656129537'}, {'screen_name': 'sadnyfaninpain', 'name': 'all my teams suck - hunter', 'id': '1012418695937880066'}]",,,,
1497244305723125761,1496917155564032000,2022-02-25 16:17:14 UTC,2022-02-25,16:17:14,+0000,1081217455874179073,danielscoolmom,mommyof2,,@monsouleil Net chanel nya medium or jumbo ya?,in,[],[],[],0,0,0,[],[],https://twitter.com/danielscoolmom/status/1497244305723125761,False,,0,,,,,,,,"[{'screen_name': 'monsouleil', 'name': 'annette', 'id': '873745402586988545'}]",,,,
1497244305240567809,1497244305240567809,2022-02-25 16:17:14 UTC,2022-02-25,16:17:14,+0000,1217612700,bafra55_net,bafra55༝,,Bafra’da ki trafik levhaları hedef tahtası oldu  https://t.co/2ym8vPPt5E @bafra55_net aracılığıyla,tr,"[{'screen_name': 'bafra55_net', 'name': 'bafra55༝', 'id': '1217612700'}]",['https://www.bafra55.net/bafrada-ki-trafik-levhalari-hedef-tahtasi-oldu-61883h.htm'],[],0,0,0,[],[],https://twitter.com/bafra55_net/status/1497244305240567809,False,,0,,,,,,,,[],,,,
1497244301964689410,1497244301964689410,2022-02-25 16:17:13 UTC,2022-02-25,16:17:13,+0000,468988914,lovethatcheek,Mae⁷,,@maryh37467595 ikaw nalang ako pag-asa te hinay kaayo among net ginoo ko nag kamang!,tl,[],[],[],0,0,0,[],[],https://twitter.com/lovethatcheek/status/1497244301964689410,False,,0,,,,,,,,[],,,,
1497244300064837634,1497221703813853187,2022-02-25 16:17:13 UTC,2022-02-25,16:17:13,+0000,1368348389025415172,georgeb95619532,George Benjamin,,@Net_azuos @GeorgeB95619532,und,[],[],[],0,0,0,[],[],https://twitter.com/GeorgeB95619532/status/1497244300064837634,False,,0,,,,,,,,"[{'screen_name': 'Net_azuos', 'name': '🌹 𝒩 ℯ𝓉. ❤', 'id': '1102298860658003970'}]",,,,
1497244298265481216,1497195875357106186,2022-02-25 16:17:12 UTC,2022-02-25,16:17:12,+0000,21848609,qcnodding,Sir Gain of Funk ✝️✡️,,@LanceForman @IsabelOakeshott What!?  We've done nothing. This is the first real instance of our zero influence on the world stage and our weakness thanks to wokery net zero diversity and inclusion sh¡t plus 2% defence spending.,en,[],[],[],0,0,0,[],[],https://twitter.com/QcNodding/status/1497244298265481216,False,,0,,,,,,,,"[{'screen_name': 'LanceForman', 'name': 'Lance Forman', 'id': '757537572'}, {'screen_name': 'IsabelOakeshott', 'name': 'Isabel Oakeshott', 'id': '437814330'}]",,,,
1497244295690174470,1497234727945842688,2022-02-25 16:17:12 UTC,2022-02-25,16:17:12,+0000,1331375299574030337,pixeltherebel,Pixel Pixel,,"@Kamehwabunga @Urban @SullivanROUAUD @houlabete @lantreducouple Pour moi c'est pas un souci, je vais trouver une librairie qui participe sur le net. Mais qu'ils (Urban) ne viennent pas se plaindre s'ils ne vendent pas assez : en ne communiquant pas, ils se privent de lecteurs potentiels. Jsuis sur une ville moyenne de 40.000 hbts sans agglo",fr,[],[],[],0,0,0,[],[],https://twitter.com/PixelTheRebel/status/1497244295690174470,False,,0,,,,,,,,"[{'screen_name': 'Kamehwabunga', 'name': 'Fabien', 'id': '1260547348016570369'}, {'screen_name': 'Urban', 'name': 'Urban', 'id': '3774531'}, {'screen_name': 'SullivanROUAUD', 'name': 'Hakimi Bey 🌕', 'id': '57802057'}, {'screen_name': 'houlabete', 'name': ""Max Faraday's Comics and stuff"", 'id': '52508817'}, {'screen_name': 'lantreducouple', 'name': ""l'Antre Du Couple DC Comics"", 'id': '990316095180627970'}]",,,,
1497244289864286220,1497171986807672832,2022-02-25 16:17:10 UTC,2022-02-25,16:17:10,+0000,1483451709829660678,twinkle00071,Twinkle,,"@rblommestijn Wapenhandel doet goede zaken, net zoals olie en gas. Globalisten bah  https://t.co/gkdIekfvwf",nl,[],[],['https://pbs.twimg.com/media/FMdHvkHXsAgEzEV.jpg'],0,0,0,[],[],https://twitter.com/Twinkle00071/status/1497244289864286220,False,,1,https://pbs.twimg.com/media/FMdHvkHXsAgEzEV.jpg,,,,,,,"[{'screen_name': 'rblommestijn', 'name': 'Raisa Blommestijn', 'id': '1035543057545015296'}]",,,,
