id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1497287021232017418,1497285377983500288,2022-02-25 19:06:58 UTC,2022-02-25,19:06:58,+0000,777196478,yeti0013,Yeti0013,,"@TrailerDrake Specifically, it was when Cisco gave up his powers.",en,[],[],[],1,0,0,[],[],https://twitter.com/yeti0013/status/1497287021232017418,False,,0,,,,,,,,"[{'screen_name': 'TrailerDrake', 'name': 'Drake', 'id': '312372133'}]",,,,
1497286688904679424,1497286688904679424,2022-02-25 19:05:39 UTC,2022-02-25,19:05:39,+0000,169825018,h3ll0ssec,Hendrik,,New Flaws Discovered in Cisco's Network Operating System for Switches  https://t.co/4iNHfjreDP  https://t.co/gbUrYI1vRS,en,[],['http://dlvr.it/SKft2Z'],['https://pbs.twimg.com/media/FMduTycUUAA9eIu.jpg'],0,0,0,[],[],https://twitter.com/h3ll0sSec/status/1497286688904679424,False,,1,https://pbs.twimg.com/media/FMduTycUUAA9eIu.jpg,,,,,,,[],,,,
1497286487930392577,1497286487930392577,2022-02-25 19:04:51 UTC,2022-02-25,19:04:51,+0000,783480906451263489,sensorcommtech,SensorComm Technologies,,SensorComm CEO Dr Kamil Agi meets with NM Senator @MartinHeinrich to discuss IoT methane sensor system in joint development with The University of New Mexico's Center for Micro-Engineered Materials &amp; SensorComm  https://t.co/BMrGiKawyI @FECMgov @intel  @Cisco #methane @ENERGY @UNM,en,"[{'screen_name': 'martinheinrich', 'name': 'martin heinrich', 'id': '1099199839'}, {'screen_name': 'fecmgov', 'name': 'doe fossil energy and carbon management', 'id': '42967026'}, {'screen_name': 'intel', 'name': 'intel', 'id': '2803191'}, {'screen_name': 'cisco', 'name': 'cisco', 'id': '15749983'}, {'screen_name': 'energy', 'name': 'u.s. department of energy', 'id': '166252256'}, {'screen_name': 'unm', 'name': 'univ. of new mexico', 'id': '17358507'}]",['https://bit.ly/35rWKsO'],[],0,0,1,['methane'],[],https://twitter.com/sensorcommtech/status/1497286487930392577,False,,0,,,,,,,,[],,,,
1497286378568175616,1497286378568175616,2022-02-25 19:04:25 UTC,2022-02-25,19:04:25,+0000,954021279719452672,_bieuu,pretin,,"que emocionante, caiu um cisco no meu olho",pt,[],[],[],0,0,0,[],[],https://twitter.com/_bieuu/status/1497286378568175616,False,https://twitter.com/clistenescarlos/status/1496905721656778753,0,,,,,,,,[],,,,
1497286160556695558,1497286160556695558,2022-02-25 19:03:33 UTC,2022-02-25,19:03:33,+0000,914696752527265792,jose_melchiade,Bambu Station,,eu sou dali de perto do velho Chico  ele grande como o mundo eu pequeno como um cisco   eu pequeno como um cisco  e meu velho quase bebado  perambulando só  quer saber de dormir cedo   ele gigante  a gente merda nenhuma  ele tem toda razão  a gente alguma,pt,[],[],[],1,0,0,[],[],https://twitter.com/jose_melchiade/status/1497286160556695558,False,,0,,,,,,,,[],,,,
1497285861909700611,1497285861909700611,2022-02-25 19:02:22 UTC,2022-02-25,19:02:22,+0000,1367192916876095488,dittallc,Ditta Enterprises LLC,,"Why are @Cisco AppDynamics and ThousandEyes critical to moving to the cloud? This eBook, courtesy of DITTA ENTERPRISES LLC, offers 10 tips for enterprise cloud migration in government.  https://t.co/lyltx1qd2h  https://t.co/C9tsUsxfJy",en,"[{'screen_name': 'cisco', 'name': 'cisco', 'id': '15749983'}]",['https://stuf.in/b8xe9u'],['https://pbs.twimg.com/media/FMdtjpmXEAgnQXK.jpg'],0,0,0,[],[],https://twitter.com/DittaLlc/status/1497285861909700611,False,,1,https://pbs.twimg.com/media/FMdtjpmXEAgnQXK.jpg,,,,,,,[],,,,
1497285819639414790,1497285819639414790,2022-02-25 19:02:12 UTC,2022-02-25,19:02:12,+0000,707088457,cloudmanagednet,Cloud Managed Networks,,"Cisco Umbrella views encryption of DNS queries in transit as a core component of DNS Security, along with the use of DNSSEC for securing the data in the queries itself.  https://t.co/JggThSoNNz  https://t.co/ANq0PJmvwI",en,[],['https://oal.lu/gWjt3'],['https://pbs.twimg.com/media/FMdthLhXoAUR3P8.jpg'],0,0,0,[],[],https://twitter.com/CloudManagedNet/status/1497285819639414790,False,,1,https://pbs.twimg.com/media/FMdthLhXoAUR3P8.jpg,,,,,,,[],,,,
1497285777482555411,1497285777482555411,2022-02-25 19:02:02 UTC,2022-02-25,19:02:02,+0000,1415574950,innolead,InnoLead,,"Innovation is an integral part of an organization’s DNA. But how can companies turn ideas into actual, realized value? Artem Ignatenko of @Cisco and Tad Haas of @edison365 shared their insights in our latest Master Class. Watch the full replay now!   https://t.co/4ct5ydX9IF",en,"[{'screen_name': 'cisco', 'name': 'cisco', 'id': '15749983'}, {'screen_name': 'edison365', 'name': 'edison martinez', 'id': '127670302'}]",['https://hubs.ly/Q014Xd0X0'],[],0,0,0,[],[],https://twitter.com/InnoLead/status/1497285777482555411,False,,0,,,,,,,,[],,,,
1497285552328122374,1497285552328122374,2022-02-25 19:01:08 UTC,2022-02-25,19:01:08,+0000,581274651,atriatn,Atria Technology,,Proporciona una experiencia de trabajo segura y uniforme desde cualquier lugar con una política de seguridad centralizada.  Conversa con tu Ejecutivo de Cuenta.  https://t.co/NUftOYpYJX  #Cisco #Teletrabajo #TrabajoRemoto #Webex  https://t.co/1rr5oVaV9c,es,[],['https://oal.lu/Jjg59'],['https://pbs.twimg.com/media/FMdtRldXEAodude.jpg'],0,0,0,"['cisco', 'teletrabajo', 'trabajoremoto', 'webex']",[],https://twitter.com/AtriaTN/status/1497285552328122374,False,,1,https://pbs.twimg.com/media/FMdtRldXEAodude.jpg,,,,,,,[],,,,
1497285493863690244,1497285493863690244,2022-02-25 19:00:54 UTC,2022-02-25,19:00:54,+0000,2230283364,lorienkb,Lorien Balayan,,"See how @Cisco SecureX unifies the entire ecosystem in one location for complete visibility—watch this demo, courtesy of Contoso Tech.  https://t.co/KETuBpArph",en,"[{'screen_name': 'cisco', 'name': 'cisco', 'id': '15749983'}]",['https://stuf.in/b8xe7t'],[],0,0,0,[],[],https://twitter.com/lorienkb/status/1497285493863690244,False,,0,,,,,,,,[],,,,
